Name,Type,Detection Method,Mass<br>(M<sub>E</sub>),Radius<br>(R<sub>E</sub>),Flux<br>(S<sub>E</sub>),<i>T<sub>surf</sub></i><br>(K),Period<br>(days),Distance<br>(ly),Age<br>(Gy),ESI
"Kepler-1544 b","K Warm Superterran","Transit",3.820000000000000,1.780000000000000,0.8430264200825404,275.6676584946736,168.8111740000000,1092.916140400000,2.340000000000000,0.7926635120647971
"Kepler-1410 b","K Warm Superterran","Transit",3.820000000000000,1.780000000000000,1.074749569054105,292.9222362087997,60.86616800000000,1196.992520000000,4.070000000000000,0.7999741710157133
"Kepler-1540 b","K Warm Superterran","Transit",6.760000000000000,2.490000000000000,0.7762063312630189,270.0348497102646,125.4131177000000,798.9517376000000,2.510000000000000,0.6852401430455627
"Kepler-1606 b","G Warm Superterran","Transit",4.940000000000000,2.070000000000000,1.636042797144682,325.3675117613493,196.4352240000000,2711.292427720000,4.270000000000000,0.7002538666326197
"Kepler-1653 b","K Warm Superterran","Transit",5.350000000000000,2.170000000000000,1.043989556683339,290.8034533879476,140.2524000000000,2462.477800000000,7.700000000000000,0.7385740715642647
"HD 216520 c","K Warm Superterran","Radial Velocity",9.440000000000000,3.030000000000000,1.276091475504485,304.9412596785313,154.4300000000000,63.77002112000000,6.000000000000000,0.6336328430066284
"Kepler-296 f","M Warm Superterran","Transit",3.890000000000000,1.800000000000000,0.4394975083841701,229.2765211254743,63.33627000000000,544.6805200000000,4.200000000000000,0.6584999747490459
"TRAPPIST-1 g","M Warm Terran","Transit",1.321000000000000,1.129000000000000,0.2523205507303448,203.8981684656817,12.35244600000000,40.54082811452800,0.5000000000000000,0.5756638207235474
"Kepler-283 c","K Warm Superterran","Transit",3.970000000000000,1.820000000000000,0.8943164969591413,279.7681889736182,92.74371100000000,1526.716666640000,3.090000000000000,0.7906371718935887
"K2-18 b","M Warm Superterran","Transit",8.920000000000000,2.370000000000000,1.264153833251649,302.7345051549030,32.93962300000000,124.0260374960000,NaN,0.7009376843765194
"TRAPPIST-1 d","M Warm Subterran","Transit",0.3880000000000000,0.7880000000000000,1.115770254052075,295.6742547863868,4.049219000000000,40.54082811452800,0.5000000000000000,0.9076624106772956
"Kepler-62 f","K Warm Terran","Transit",35.00000000000000,1.410000000000000,0.4071468803825863,229.8070241269592,267.2910000000000,981.3186034400001,7.000000000000000,0.6787140844078122
"GJ 1002 b","M Warm Terran","Radial Velocity",1.080000000000000,1.030000000000000,0.6732364168034870,260.5958054292739,10.34650000000000,15.81422812520000,NaN,0.8615154553633029
"Wolf 1061 c","M Warm Superterran","Radial Velocity",3.410000000000000,1.660000000000000,1.296771609955153,306.3028383143694,17.87190000000000,14.04401643520000,NaN,0.8021875230716463
"GJ 682 b","M Warm Superterran","Radial Velocity",4.400000000000000,1.930000000000000,0.3134831734758324,215.0089377540992,17.47800000000000,16.32968506760000,NaN,0.5676058263379796
"HIP 38594 b","M Warm Superterran","Radial Velocity",8.100000000000000,2.770000000000000,1.342419006109719,307.9746662247606,60.72200000000000,58.01858621600000,NaN,0.6522963749465374
"GJ 667 C e","M Warm Terran","Radial Velocity",2.700000000000000,1.450000000000000,0.3022231093474442,213.2921445072652,62.24000000000000,23.62661017760000,2.000000000000000,0.5994658440247006
"GJ 667 C f","M Warm Terran","Radial Velocity",2.700000000000000,1.450000000000000,0.5635679978950997,249.2233830204183,39.02600000000000,23.62661017760000,2.000000000000000,0.7637299294926450
"TRAPPIST-1 e","M Warm Terran","Transit",0.6919999999999999,0.9200000000000000,0.6467760165672199,257.9953507861015,6.101013000000000,40.54082811452800,0.5000000000000000,0.8454945115261311
"Kepler-1701 b","K Warm Superterran","Transit",5.570000000000000,2.222000000000000,1.417046135683686,313.8856913131539,169.1340000000000,1905.214181520000,NaN,0.7053687104422459
"GJ 357 d","M Warm Superterran","Radial Velocity",6.100000000000000,2.340000000000000,0.3825953304140644,226.2613829674902,55.66100000000000,30.79502982360000,NaN,0.5755175196683111
"GJ 514 b","M Warm Superterran","Radial Velocity",5.200000000000000,2.130000000000000,0.2700907757332474,198.9284556040379,140.4300000000000,24.84584653680000,0.8000000000000000,0.5201008375321021
"TOI-715 b","M Warm Terran","Transit",3.020000000000000,1.550000000000000,0.7125967138229101,264.3239251373151,19.28800400000000,138.3057994880000,6.200000000000000,0.8067602540204043
"GJ 667 C c","M Warm Superterran","Radial Velocity",3.800000000000000,1.770000000000000,0.8775398558709887,278.4259152810632,28.14000000000000,23.62661017760000,2.000000000000000,0.7981014007944902
"K2-288 B b","M Warm Superterran","Transit",4.270000000000000,1.900000000000000,0.4368298464230850,233.8856609951522,31.39346300000000,214.0033455280000,1.000000000000000,0.6464881419295536
"Kepler-22 b","G Warm Superterran","Transit",9.100000000000000,2.100000000000000,1.411057470629106,275.4180765980150,289.8638760000000,634.8365615199999,7.000000000000000,0.7216325998466500
"K2-3 d","M Warm Terran","Transit",2.200000000000000,1.458000000000000,1.454409660819314,315.4427259618852,44.55603000000000,143.7457554120000,6.900000000000000,0.8142638226173193
"Kepler-62 e","K Warm Superterran","Transit",36.00000000000000,1.610000000000000,1.151182688230355,297.9967883561896,122.3874000000000,981.3186034400001,7.000000000000000,0.8274275395032329
"Kepler-174 d","K Warm Superterran","Transit",5.430000000000000,2.190000000000000,0.5872495093975978,251.8437553550380,247.3537300000000,1254.908040920000,4.900000000000000,0.6784561501442405
"Kepler-440 b","K Warm Superterran","Transit",4.120000000000000,1.860000000000000,1.435637854226977,307.8069312277451,101.1114100000000,981.8274067999998,1.300000000000000,0.7526026313450855
"Kepler-442 b","K Warm Terran","Transit",2.360000000000000,1.340000000000000,0.6996826386446520,263.0391661405113,112.3053000000000,1193.616805400000,2.900000000000000,0.8382420225025671
"Ross 128 b","M Warm Terran","Radial Velocity",1.400000000000000,1.110000000000000,1.482444411453575,316.6417140251464,9.865800000000000,11.00626468240000,5.000000000000000,0.8577206656471901
"TOI-2257 b","M Warm Superterran","Transit",5.450000000000000,2.194000000000000,0.7440171228596921,253.7007171889206,35.18934600000000,188.4891401160000,NaN,0.7160197910687740
"GJ 229 A c","M Warm Superterran","Radial Velocity",8.581370000000000,2.870000000000000,0.4370866808747376,227.7645573585606,121.9326800000000,18.77432213440000,0.4000000000000000,0.5601598942887230
"GJ 273 b","M Warm Terran","Radial Velocity",2.890000000000000,1.510000000000000,1.064476588746966,291.6700194895948,18.64980000000000,12.34846216290474,NaN,0.8546375895745704
"GJ 163 c","M Warm Superterran","Radial Velocity",6.800000000000000,2.500000000000000,1.251825186720362,303.7456203463058,25.63058000000000,49.34251046000000,6.000000000000000,0.6868069550849005
"TRAPPIST-1 f","M Warm Terran","Transit",1.039000000000000,1.045000000000000,0.3735306114175542,224.9048458455353,9.207540000000000,40.54082811452800,0.5000000000000000,0.6771124055864510
"GJ 1061 c","M Warm Terran","Radial Velocity",1.740000000000000,1.180000000000000,1.448571317858297,310.4958039055941,6.689000000000000,11.97899233680000,7.000000000000000,0.8579105793021902
"HN Lib b","M Warm Superterran","Radial Velocity",5.460000000000000,2.200000000000000,0.5053819910495633,242.2818673718972,36.11600000000000,20.36655049520000,4.400000000000000,0.6474514925735746
"Kepler-1638 b","G Warm Superterran","Transit",4.160000000000000,1.870000000000000,1.385758191588865,312.1385328022981,259.3368300000000,4975.575011200000,4.370000000000000,0.7570641135411034
"Kepler-1652 b","M Warm Terran","Transit",3.190000000000000,1.600000000000000,0.8412575784213380,275.5229428119624,38.09722000000000,821.9131199999999,3.200000000000000,0.8258056945095709
"Kepler-186 f","M Warm Terran","Transit",1.710000000000000,1.170000000000000,0.2947000572382695,211.9045098682499,129.9441000000000,579.2334866399999,4.000000000000000,0.6108342013890882
"Teegarden's Star c","M Warm Terran","Radial Velocity",1.110000000000000,1.040000000000000,0.3716999884099123,224.6330520938614,11.40900000000000,12.49431881680000,8.000000000000000,0.6758168144583105
"LHS 1140 b","M Warm Superterran","Transit",6.380000000000000,1.635000000000000,0.3566043463608722,221.9314157436174,24.73694000000000,48.87806431600000,5.000000000000000,0.6238312485156992
"Kepler-1229 b","M Warm Terran","Transit",2.540000000000000,1.400000000000000,0.3243560832703989,217.1106026765632,86.82898900000001,865.8854719200000,3.720000000000000,0.6204943878261699
"Kepler-155 c","M Warm Superterran","Transit",5.650000000000000,2.240000000000000,1.052856706955608,291.4189828588866,52.66179300000000,957.2645984400000,2.900000000000000,0.7287671455063940
"GJ 180 d","M Warm Superterran","Radial Velocity",7.560000000000000,2.660000000000000,0.2602443980990179,204.7205672802464,106.3000000000000,38.94530949200000,NaN,0.4754663992189140
"GJ 1002 c","M Warm Terran","Radial Velocity",1.360000000000000,1.100000000000000,0.2581590037033207,205.0677376023670,21.20200000000000,15.81422812520000,NaN,0.5817152529716992
"HD 40307 g","K Warm Superterran","Radial Velocity",7.100000000000000,2.560000000000000,0.6664590500042545,255.7196682856674,197.8000000000000,42.19251862799999,4.500000000000000,0.6593528035498593
"GJ 1061 d","M Warm Terran","Radial Velocity",1.640000000000000,1.160000000000000,0.6867803108511250,246.5756326354671,13.03100000000000,11.97899233680000,7.000000000000000,0.8586351119602917
"Kepler-296 e","M Warm Terran","Transit",2.960000000000000,1.530000000000000,1.000606613307680,281.6348027737593,34.14211000000000,544.6805200000000,4.200000000000000,0.8518707588189728
"K2-72 e","M Warm Terran","Transit",2.210000000000000,1.290000000000000,1.303262132935844,306.6853931525540,24.15886800000000,216.6722800760000,NaN,0.8708235731580869
"Kepler-443 b","K Warm Superterran","Transit",6.040000000000000,2.330000000000000,0.8900883349260323,278.8004208612754,177.6693000000000,2616.655002760000,3.200000000000000,0.7146042366211369
"Teegarden's Star b","M Warm Terran","Radial Velocity",1.050000000000000,1.020000000000000,1.148679626881092,297.8346696028896,4.910000000000000,12.49431881680000,8.000000000000000,0.9505728336948921
"K2-332 b","M Warm Superterran","Transit",5.480000000000000,2.200000000000000,1.166542496889070,298.9858686507328,17.70632000000000,401.8307151200000,NaN,0.7293212064959401
"Proxima Cen b","M Warm Terran","Radial Velocity",1.070000000000000,1.030000000000000,0.6784682362017355,261.0810336683397,11.18680000000000,4.243909256400000,NaN,0.8641422933166401
"Ross 508 b","M Warm Superterran","Radial Velocity",4.000000000000000,1.830000000000000,1.320490987652004,301.8591463135429,10.77000000000000,36.56306606800000,NaN,0.7707707213264158
"Wolf 1069 b","M Warm Terran","Radial Velocity",1.260000000000000,1.080000000000000,0.6520208053869847,258.5180578097902,15.56400000000000,31.25686671960000,NaN,0.8485934799055707
"GJ 367 d","M Warm Superterran","Radial Velocity",6.030000000000000,2.330000000000000,1.145208998867472,296.5086154194831,34.36900000000000,30.69985750280000,NaN,0.7135547188279516
